0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:12 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:12 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:12 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:13 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:22 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:23 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:23 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:25 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:25 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:25 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:27 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:27 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:27 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:28 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:28 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:28 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:28 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:29 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:29 +0900] "GET /WebProject/image/03.png HTTP/1.1" 200 38019
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:56 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:20:28 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:20:29 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 3001
